userId,itemId,rating,timeOfDay,dayType,season,location,weather,social,mood,genre
u1,i1,5,evening,working-day,winter,home,clear,with-partner,happy,romance
u1,i2,4,evening,working-day,winter,home,clear,with-partner,happy,romance
guard,u1,i3,3,afternoon,weekend,winter,home,cloudy,alone,neutral,drama
u1,i4,5,evening,working-day,winter,home,clear,with-partner,happy,romance
u1,i5,4,night,weekend,winter,friend-home,clear,with-friends,excited,comedy
u1,i6,2,morning,working-day,winter,work,cloudy,alone,tired,action
u1,i7,5,evening,working-day,winter,home,clear,with-partner,happy,romance
u1,i8,4,evening,working-day,autumn,home,clear,with-partner,happy,romance
u1,i9,3,evening,working-day,autumn,home,clear,with-partner,neutral,drama
u1,i10,5,evening,working-day,autumn,home,clear,with-partner,happy,romance

u2,i11,4,night,weekend,summer,home,clear,with-friends,excited,comedy
u2,i12,5,night,weekend,summer,home,clear,with-friends,excited,comedy
u2,i5,4,night,weekend,summer,public-place,clear,with-friends,excited,comedy
u2,i3,2,afternoon,working-day,summer,work,cloudy,alone,tired,drama
u2,i6,5,evening,working-day,summer,home,clear,with-partner,happy,action
u2,i1,2,evening,working-day,summer,home,clear,with-partner,neutral,romance

u3,i6,5,evening,working-day,winter,home,clear,alone,neutral,action
u3,i13,4,evening,working-day,winter,home,clear,alone,neutral,action
u3,i14,4,evening,working-day,winter,home,clear,alone,neutral,action
u3,i7,2,evening,working-day,winter,home,clear,alone,neutral,romance
u3,i15,5,afternoon,working-day,autumn,home,cloudy,alone,neutral,thriller
u3,i16,4,night,weekend,autumn,public-place,clear,with-friends,excited,comedy
